asset_id,asset_type,location_name,latitude,longitude,install_date,expected_service_interval_months,warranty_end_date,contractor_name,last_maintenance_log_date
SL-2023-114,solar_streetlight,"Ward 7, Market Road",19.1197,72.8467,2023-02-15,6,2026-02-15,SunTech Solar Pvt Ltd,
SL-2024-067,solar_streetlight,"Ward 2, Park Lane",18.9350,72.8360,2024-03-15,6,2027-03-15,ABC Solar Pvt Ltd,2024-09-15
SL-2026-001,solar_streetlight,"Ward 1, Gateway Road",18.9070,72.8150,2026-01-15,6,2029-01-15,SunTech Solar Pvt Ltd,2026-08-01
SL-2023-042,solar_streetlight,"Ward 4, Beach Road",18.9550,72.8200,2023-04-10,6,2026-04-10,CityInfra Services,
SL-2024-155,solar_streetlight,"Ward 8, Highway Junction",19.2310,72.8570,2024-06-01,6,2027-06-01,SunTech Solar Pvt Ltd,2025-01-15
SL-2025-008,solar_streetlight,"Ward 3, Dock Road",18.9730,72.8470,2025-01-20,6,2028-01-20,ABC Solar Pvt Ltd,2026-07-10
SL-2024-091,solar_streetlight,"Ward 5, Mill Compound",18.9770,72.8330,2024-07-15,6,2027-07-15,CityInfra Services,2025-02-01
SL-2025-133,solar_streetlight,"Ward 6, Station Plaza",19.0250,72.8500,2025-03-01,6,2028-03-01,SunTech Solar Pvt Ltd,2026-06-15
SL-2023-178,solar_streetlight,"Ward 9, Lake View Road",19.1730,72.9570,2023-08-10,6,2026-08-10,ABC Solar Pvt Ltd,
SL-2024-203,solar_streetlight,"Ward 10, Industrial Area",19.1100,72.9200,2024-09-01,6,2027-09-01,CityInfra Services,2025-04-01
SL-2025-055,solar_streetlight,"Ward 1, Navy Nagar",18.9100,72.8120,2025-05-15,6,2028-05-15,SunTech Solar Pvt Ltd,2026-08-20
SL-2026-019,solar_streetlight,"Ward 7, Link Road",19.1250,72.8430,2026-02-01,6,2029-02-01,ABC Solar Pvt Ltd,2026-08-10
SL-2024-176,solar_streetlight,"Ward 6, College Road",19.0280,72.8540,2024-11-15,6,2027-11-15,CityInfra Services,2025-06-01
SL-2023-221,solar_streetlight,"Ward 3, Hospital Lane",18.9700,72.8500,2023-12-01,6,2026-12-01,SunTech Solar Pvt Ltd,2024-06-15
SL-2025-089,solar_streetlight,"Ward 8, Garden Road",19.2350,72.8600,2025-08-01,6,2028-08-01,ABC Solar Pvt Ltd,2026-09-01
WA-2024-033,water_atm,"Ward 3, Station Road",18.9750,72.8450,2024-01-10,3,2027-01-10,AquaPure Systems,
WA-2026-015,water_atm,"Ward 4, Temple Street",18.9580,72.8220,2026-02-01,3,2029-02-01,HydroTech Solutions,2026-09-01
WA-2023-078,water_atm,"Ward 1, Market Square",18.9050,72.8180,2023-06-15,3,2026-06-15,AquaPure Systems,
WA-2024-102,water_atm,"Ward 5, School Gate",18.9800,72.8300,2024-04-20,3,2027-04-20,HydroTech Solutions,2024-10-15
WA-2025-045,water_atm,"Ward 7, Bus Depot",19.1220,72.8500,2025-02-01,3,2028-02-01,AquaPure Systems,2026-08-05
WA-2024-088,water_atm,"Ward 9, Park Entrance",19.1750,72.9550,2024-08-10,3,2027-08-10,HydroTech Solutions,2025-01-20
WA-2025-119,water_atm,"Ward 2, College Campus",18.9380,72.8390,2025-06-01,3,2028-06-01,AquaPure Systems,2026-09-10
